时间,纬度,经度,速度,加速度,是否是停留点,是否在加速区间,是否在减速区间
2008/4/28 11:27:04,39.975496,116.333695,0,0,TRUE,FALSE,FALSE
2008/4/28 11:27:06,39.975457,116.33375,3.192778227,1.596389114,FALSE,TRUE,FALSE
2008/4/28 11:27:08,39.975394,116.333741,7.047567759,3.854789532,FALSE,TRUE,FALSE
2008/4/28 11:27:10,39.975334,116.333745,6.680808422,-0.366759337,FALSE,FALSE,TRUE
2008/4/28 11:27:12,39.975359,116.333651,4.239516676,-1.220645873,FALSE,FALSE,TRUE
2008/4/28 11:27:14,39.975317,116.333745,4.636235288,0.198359306,FALSE,FALSE,FALSE
2008/4/28 11:27:16,39.975368,116.333714,3.128184065,-0.754025612,FALSE,FALSE,TRUE
2008/4/28 11:27:18,39.975394,116.333718,1.455635127,-0.836274469,FALSE,FALSE,TRUE
2008/4/28 11:27:20,39.975432,116.333735,2.233546923,0.388955898,FALSE,FALSE,FALSE
2008/4/28 11:27:22,39.975422,116.333749,0.815459257,-0.709043833,FALSE,FALSE,FALSE
2008/4/28 11:27:24,39.975414,116.333778,1.313257734,0.248899239,FALSE,TRUE,FALSE
2008/4/28 11:27:26,39.975396,116.333809,1.65719033,0.171966298,FALSE,TRUE,FALSE
2008/4/28 11:27:28,39.975382,116.333833,1.285155799,-0.186017266,FALSE,FALSE,TRUE
2008/4/28 11:27:30,39.97537,116.33385,0.984802259,-0.15017677,FALSE,FALSE,TRUE
2008/4/28 11:27:32,39.975369,116.333876,1.109205404,0.062201573,FALSE,TRUE,FALSE
2008/4/28 11:27:34,39.97538,116.333901,1.228301079,0.059547837,FALSE,TRUE,FALSE
2008/4/28 11:27:36,39.975379,116.33392,0.811461172,-0.208419953,FALSE,FALSE,FALSE
2008/4/28 11:27:38,39.975384,116.333938,0.81577726,0.002158044,FALSE,TRUE,FALSE
2008/4/28 11:27:40,39.975408,116.33394,1.337139593,0.260681167,FALSE,TRUE,FALSE
2008/4/28 11:27:42,39.975421,116.333942,0.727817558,-0.304661018,FALSE,FALSE,TRUE
2008/4/28 11:27:44,39.97543,116.333947,0.543869843,-0.091973857,FALSE,FALSE,TRUE
2008/4/28 11:27:46,39.975438,116.333951,0.476340798,-0.033764522,FALSE,FALSE,TRUE
2008/4/28 11:27:48,39.975447,116.333955,0.528635371,0.026147286,FALSE,TRUE,FALSE
2008/4/28 11:27:50,39.975455,116.333962,0.535546726,0.003455677,FALSE,TRUE,FALSE
2008/4/28 11:27:52,39.975464,116.333969,0.582550496,0.023501885,FALSE,TRUE,FALSE
2008/4/28 11:27:54,39.975473,116.333974,0.54386979,-0.019340353,FALSE,FALSE,FALSE
2008/4/28 11:27:56,39.975486,116.333981,0.781929304,0.119029757,FALSE,TRUE,FALSE
2008/4/28 11:27:58,39.975499,116.333989,0.799152723,0.00861171,FALSE,TRUE,FALSE
2008/4/28 11:28:00,39.975513,116.333995,0.819318004,0.01008264,FALSE,TRUE,FALSE
2008/4/28 11:28:02,39.975609,116.334004,5.351442665,2.266062331,FALSE,TRUE,FALSE
2008/4/28 11:28:04,39.975724,116.334025,6.456404173,0.552480754,FALSE,TRUE,FALSE
2008/4/28 11:28:06,39.97585,116.334066,7.220231478,0.381913652,FALSE,TRUE,FALSE
2008/4/28 11:28:08,39.976138,116.334076,16.01872443,4.399246478,FALSE,TRUE,FALSE
2008/4/28 11:28:10,39.976288,116.33409,16.72287671,0.704152277,FALSE,TRUE,FALSE
2008/4/28 11:28:12,39.976522,116.334134,26.28996361,9.567086896,FALSE,TRUE,FALSE
2008/4/28 11:28:14,39.976881,116.334225,20.33380236,-2.978080622,FALSE,FALSE,TRUE
2008/4/28 11:28:16,39.976985,116.334247,11.71594825,-8.617854115,FALSE,FALSE,TRUE
2008/4/28 11:28:18,39.977103,116.334258,13.15524786,1.43929961,FALSE,TRUE,FALSE
2008/4/28 11:28:20,39.978243,116.333814,44.09851126,10.31442113,FALSE,TRUE,FALSE
2008/4/28 11:28:22,39.978447,116.333802,22.70819832,-21.39031295,FALSE,FALSE,TRUE
2008/4/28 11:28:24,39.978623,116.333793,19.58653391,-3.121664405,FALSE,FALSE,TRUE
2008/4/28 11:28:26,39.978816,116.333773,21.52950279,1.942968877,FALSE,FALSE,FALSE
2008/4/28 11:28:28,39.979004,116.333753,20.97528439,-0.554218402,FALSE,FALSE,TRUE
2008/4/28 11:28:30,39.979175,116.33372,19.22229637,-1.752988019,FALSE,FALSE,TRUE
2008/4/28 11:28:32,39.979343,116.333669,19.18069819,-0.04159818,FALSE,FALSE,TRUE
